"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"CCDC25","CCDC25","grey","grey",0.105015339619675,0.0915080655460471,0.0785877070590357,0.0995929379952873,0.0716538856786587,0.0902940104598123,0.0812732181580152,0.0768899464166872,0.0235953315194579
"ELP3","ELP3","grey","grey",0.159467173252404,0.144565212549976,0.0987917930995607,0.14008174021431,0.11212366890279,0.145396150036549,0.115838234122622,0.139063895237477,0.0294614700261948
"FZD3","FZD3","grey","grey",0.0451130453851519,0.0358307335554079,0.0370841337928214,0.0307406351295367,0.0303684715164198,0.0452484876775981,0.0231184294793404,0.0503762555719083,0.0376280277739089
"EXTL3","EXTL3","grey","grey",0.142650291110173,0.134205629923885,0.0977683897567751,0.135982393541883,0.122655190088371,0.118840014249223,0.140779656328169,0.106486838598596,0.0322932353949605
"INTS9","INTS9","grey","grey",0.14530737033671,0.136050390186088,0.0821045926325876,0.13974704940811,0.113021883963001,0.133080770343897,0.131125898497868,0.117440334420047,0.0050792513772726
"HMBOX1","HMBOX1","oligo3","turquoise",0.249886382307261,0.22561287099662,0.145676563295639,0.255655655561156,0.190450698441543,0.227565698312958,0.210973701539605,0.201059609900532,0.045980184516048
"KIF13B","KIF13B","oligo4","pink",0.387469534336737,0.363940359956059,0.236911073047068,0.380234819709737,0.377330563465693,0.365913751337011,0.338455356239409,0.336993704343574,0.0525739732931055
"AC108449.1","AC108449.1","oligo2","blue",0.104759599297612,0.0662753157407793,0.170118200099518,0.0827583567074395,0.0536451852756054,0.0635530257471849,0.0681931146805127,0.0622378259383998,0.0165640130495343
"SARAF","SARAF","oligo2","blue",0.162259089479824,0.114952706622914,0.266041490872034,0.137344420528409,0.0804934488267288,0.0863497239367227,0.0866227241636236,0.0720949833946479,0.0666122092438567
"LEPROTL1","LEPROTL1","grey","grey",0.100915005300506,0.0841524220980767,0.101837949728682,0.084316779231641,0.0687993678170059,0.0848307103120056,0.0718134706857316,0.0756849221264118,0.0146229923421543
