"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7"
"PTAR1","PTAR1","oligo5","yellow",0.142349250575831,0.107638593884959,0.145831559806589,0.110197874152303,0.107132802498359,0.149356708247781,0.0929955893614952,0.108999437008366
"MAMDC2","MAMDC2","oligo1","turquoise",0.02412448340735,0.0995744732916507,0.0122165427650788,-0.00151903064009371,0.00265709181858454,0.0227781465679324,0.0744739137771229,0.0437496537853834
"SMC5","SMC5","grey","grey",0.209877191586126,0.138891967936558,0.189242069894519,0.177199682722835,0.176358561916782,0.17543126118883,0.111087850719657,0.156184370302351
"KLF9","KLF9","oligo1","turquoise",0.123261173609108,0.198483382398746,0.101679619351685,0.0495399442036621,0.0908911441742575,0.134335433601805,0.121884816138114,0.10439816629118
"TRPM3","TRPM3","grey","grey",0.0309332369257028,0.0401790820052262,0.0169047115752689,0.0107916336334569,0.0201478095396558,0.0298646019966864,0.03859515827549,0.0206328082355091
"CEMIP2","CEMIP2","grey","grey",0.0921042123566401,0.0646636019265252,0.0724258868420684,0.0649637722020617,0.0621000568271789,0.0823621113712599,0.0582443260317106,0.0711315950739675
"ABHD17B","ABHD17B","oligo5","yellow",0.211805479614018,0.159687566143889,0.204021887850674,0.161188423982372,0.154899127335911,0.243064840974506,0.129568951677616,0.125613174897022
"C9orf85","C9orf85","grey","grey",0.202053577727001,0.113069861581696,0.194579525488741,0.178460941067055,0.17012325035479,0.180502159198106,0.0960690794822337,0.140860592844627
"ZFAND5","ZFAND5","oligo1","turquoise",0.139329663520624,0.162523259199597,0.119003952881995,0.105421056908754,0.127950833858443,0.118464921119237,0.0954349211586056,0.109780368129751
"RORB","RORB","oligo5","yellow",0.0222818926125224,0.0447294114241513,0.0126763692652916,-0.0364691430681091,-0.00477504222240972,0.0871535252473986,0.0368557073316549,0.00418771538748989
"TRPM6","TRPM6","oligo3","brown",0.204181674145666,0.108596957456335,0.186690546319634,0.240195428453272,0.206220480087645,0.110271126278295,0.0845957993278255,0.149921383992148
"CARNMT1","CARNMT1","oligo2","blue",0.0960340568488295,0.0726344768571645,0.108347273078486,0.088096972096556,0.0700437413190237,0.0692231927638603,0.0635659596785503,0.0500092292599283
"NMRK1","NMRK1","grey","grey",0.110456924269769,0.0716630963511823,0.107671177322711,0.0940153678949772,0.0886138224324847,0.107654600313434,0.0670119472374667,0.0751660449147088
"OSTF1","OSTF1","grey","grey",0.152570722292819,0.0925453534311239,0.146886809840744,0.122178963319942,0.122789067842932,0.161935513294094,0.0777163937944264,0.103908022514033
"PCSK5","PCSK5","oligo5","yellow",0.0357005980841922,0.0440539422703971,0.02956170807245,0.00284739692288456,0.0139958493426,0.0625065801688352,0.0421293022100308,0.0291528854102143
"PRUNE2","PRUNE2","grey","grey",0.508035774960429,0.237537449766287,0.46445735290433,0.446491627467743,0.473097653551869,0.468281789834687,0.211805885199558,0.35802012476479
"PCA3","PCA3","oligo6","red",0.223481810193737,0.242597495832971,0.125838627655815,0.133037481415292,0.15066849073446,0.170051414693888,0.349253626059882,0.210162142158208
"VPS13A","VPS13A","grey","grey",0.0673354277557209,0.0151928964807704,0.0686444730149831,0.077574971276133,0.0645153688984678,0.0465168377101083,0.0242845691314505,0.0426952286556029
