"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8"
"DHX9","DHX9","oligo5","blue",0.148767875920361,0.191913496493731,0.171156179272527,0.136116162252075,0.129209123080361,0.18294573215299,0.0911853317808829,0.108654570196532,0.0787355893337609
"SMG7","SMG7","grey","grey",0.145208736478778,0.182709399227233,0.127479469727453,0.0849835967718955,0.105644085584457,0.156617347484919,0.0955682725636936,0.0942052855361071,0.0841917654342475
"ARPC5","ARPC5","oligo2","brown",0.188212452714775,0.207647274612543,0.278482868048887,0.188893019595846,0.1057839677351,0.147035817448312,0.0877115742128672,0.082057714319958,0.0435107415763745
"RGL1","RGL1","grey","grey",0.287617482301,0.310603088599961,0.187939474117612,0.0977466303780766,0.154812939851074,0.25843265993114,0.198355909589538,0.191718382553947,0.175983808304055
"COLGALT2","COLGALT2","grey","grey",0.387852770373763,0.382224336793167,0.277939294380443,0.154972286083885,0.180991432884034,0.299033826801532,0.280450890853969,0.251296410162756,0.192672469372332
"TSEN15","TSEN15","grey","grey",0.260876134496726,0.267504367586927,0.170325686322039,0.0930107764299012,0.110110593634418,0.203402629759499,0.191986717294025,0.177270897864892,0.161608877274235
"EDEM3","EDEM3","grey","grey",0.165852209345175,0.188590743064952,0.156543930061613,0.112394651116097,0.112490344540691,0.154615285140848,0.111921404785197,0.104183533545315,0.0760016354665199
"TRMT1L","TRMT1L","grey","grey",0.144183251922224,0.143166507937293,0.120816894541223,0.0667352528804453,0.0600914044885155,0.101576460592177,0.0868817856954818,0.0751069066238167,0.0646778832690542
"SWT1","SWT1","grey","grey",0.15994123454809,0.172156159423335,0.104197528487019,0.0593657050340415,0.0953902956657853,0.135407721422928,0.104502683261702,0.105292255584198,0.068757299507712
"IVNS1ABP","IVNS1ABP","grey","grey",0.157696132429166,0.184890971384999,0.174605152656856,0.112641376841442,0.0729140385468715,0.148345442514156,0.0926312674409759,0.0935517224329001,0.108923278958452
