"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13","kME_oligo14","kME_oligo15","kME_oligo16","kME_oligo17","kME_oligo18","kME_oligo19","kME_oligo20","kME_oligo21"
"WDR41","WDR41","grey","grey",0.166354201559094,0.164721035472619,0.11023178864197,0.0909541094685293,0.139971523073436,0.0727631544106318,0.110572081710456,0.150314018313965,0.0935128276580875,0.0910204508459871,0.122178723766401,0.0690139019810435,0.0908328049694954,0.141585085813487,0.0952423264705474,0.163249431119117,0.100772708152063,0.071007671154947,0.132611559180282,0.135271224341592,0.0586506546367131,0.114793566465858
"TBCA","TBCA","oligo20","darkred",0.126471460610305,0.134103111449772,0.0822988398407718,0.122255489536574,0.100155985931646,0.0474935795444491,0.065932364486168,0.153708511120002,0.0971275261826729,0.07886566293185,0.0660548067495132,0.0906417509200026,0.14747433481642,0.11750983331845,0.0751701668349477,0.148798291439746,0.0915468159416742,0.0895787890375414,0.111804392422348,0.117092661863316,0.233545091342969,0.145928469633896
"AP3B1","AP3B1","grey","grey",0.177808998520694,0.218593883607274,0.128202363182254,0.152129651446586,0.0908834213295481,0.155077751816593,0.132086790290976,0.20014756418497,0.122114638165708,0.151191881108945,0.081970987888119,0.194341275331864,0.20824341062805,0.159739291691737,0.145347249778096,0.203749376554109,0.157627498616788,0.0642213966694328,0.198979607719586,0.0994999859356827,0.16059965866412,0.154370759666305
"SCAMP1","SCAMP1","oligo4","purple",0.118016313218671,0.117760151437236,0.0572883783032879,0.0917789668840481,0.0837716300986235,0.0628797120244661,0.0546131111154913,0.0997803209596697,0.085824173460496,0.101081167841287,0.0825287603030148,0.0496466562913607,0.0565902443080323,0.0810102556187999,0.0650824356507982,0.0888326856565458,0.0431749446602311,0.0974937347455102,0.0527160785519842,0.093539542395149,0.0496676358639406,0.105124062947601
"ARSB","ARSB","grey","grey",0.0546481159560277,0.0812608086484022,0.0502552255497924,0.0506681373073329,0.0473111300592934,0.0141891060953407,0.0376840546969791,0.0697759966815652,0.0911276750780828,0.0630043793812403,0.0260124290677479,0.0863451253584751,0.0682426511277668,0.0776410991469852,0.0342592765830205,0.0690459381416176,0.108851540729743,0.00450886908143021,0.0353008853416517,0.038373112361941,0.0725880608790104,0.116826948815243
"JMY","JMY","grey","grey",0.0611535388541987,0.0815817329221266,0.0602654075774183,0.0284032382260342,0.0139442739470439,0.0466818588549861,0.0639556373642004,0.0540938038329782,0.0556964457632632,0.0575023376300341,-0.00523765700962583,0.0812535930836876,0.0471728701042282,0.0416726806886621,0.048953160876529,0.0743379734396764,-0.0283152824577617,0.0360383901113059,0.0431802398488064,-0.0110529607715614,0.0248141348186513,0.0697002658964898
"HOMER1","HOMER1","grey","grey",0.0107220864827131,-0.00457376787551226,0.00646180782021164,0.00168547170439129,0.032366077717678,-0.00511007657325162,0.0176559353057941,-0.00439646832043281,-0.0343909536763608,0.01489448649051,0.0217347691716536,-0.00782119257033767,-0.0482625540043065,-0.0412298659722582,0.000848106696674802,-0.0131829476305432,0.0464453488669651,-0.00772978381532909,0.00526809787619445,0.0132034968930152,-0.0172841673686848,-0.00164799157627186
"TENT2","TENT2","grey","grey",0.230955064099256,0.232152266184657,0.148348098195372,0.144773608728359,0.15406884614995,0.0611214855907419,0.128596045196942,0.215501098503585,0.126545983853269,0.133436756664821,0.158996599830187,0.127796512669694,0.167122741983504,0.178757809748825,0.134623411578098,0.215308714574926,0.164858087089596,0.126564725833065,0.162456929392243,0.123643368764495,0.143374499127722,0.148773872134097
"MTX3","MTX3","grey","grey",0.128620458835159,0.149833778405854,0.0758585909755765,0.142733067516889,0.133142834885053,0.0852482535643644,0.118559311494864,0.140714908161519,0.107296227432751,0.114048201198074,0.0853424470482895,0.138945346454073,0.128563163499674,0.142814681185565,0.12183469290149,0.147402943904757,0.0879165654768382,0.0452977921304213,0.0774337848139402,0.079022096440728,0.0841766046926953,0.0928324507663703
"THBS4","THBS4","oligo11","yellow",0.0266233066639619,0.0380363094752317,0.0312933790537032,0.0461849777692577,0.0106706136709576,0.0323411650643689,-0.00447789786810975,0.044174957992498,0.0658027561414142,0.0545791176867659,0.0248882415431457,0.0404439887593822,0.0363758336404947,0.062745591778869,0.032702136083448,0.0278270469973929,0.0180994899690328,-0.011152964041727,0.0109684126421188,0.0516601232909208,0.00576165156263202,0.0520124080636548
"SERINC5","SERINC5","grey","grey",0.154679524744651,0.177698162954772,0.121085831605976,0.151317756372784,0.136083366914658,0.141345019386529,0.108507740471048,0.156473758736318,0.113408631483999,0.165052191696264,0.121244157959386,0.157883061896181,0.134335871355904,0.178240106632148,0.170538792562587,0.172783696266677,0.0833817757975768,0.134503781966879,0.165559800156403,0.124267373375512,0.114744270800497,0.13793297846054
"ZFYVE16","ZFYVE16","oligo7","green",0.30367161337785,0.323209051760197,0.181691857834567,0.21951961959215,0.255971305493952,0.0844077799303865,0.188767860029988,0.365616708426498,0.232022526377656,0.234653667466884,0.163762047560205,0.237523280300665,0.246848707019748,0.259270356340875,0.187954014798179,0.294091262327943,0.201245114877742,0.103269273469284,0.268089418800368,0.184709521264758,0.195470456333395,0.256475179945295
"DHFR","DHFR","oligo13","tan",0.037964840442541,0.0519490113251036,0.0365442947980912,0.0308501095951357,0.0610136401649618,0.0265162150839854,0.0549455089708921,0.0484957424301419,0.0104472436243359,0.0281406744161288,0.0194930448174553,0.0369857185988714,0.0691685511253379,0.0776502322171512,0.139420259812142,0.0261467694539382,-0.0106278505057911,0.0297597137243656,0.0382956075462417,0.0295510803015467,0.0734079503782421,0.034729480851847
"MSH3","MSH3","grey","grey",0.0813316430025389,0.102659383883156,0.109279038937409,0.111979256310087,0.0800447631190873,0.0707001185801865,0.0894986145984976,0.0765819409591689,0.0361549771351908,0.112371827789852,0.0423621192163538,0.0682792321974203,0.041581670614349,0.0495268895526527,0.0887760368433664,0.0872309662579791,0.0531179096253895,0.120599165462981,0.0753533420775657,0.0517447757485733,0.0325602066117534,0.0908511315433792
"RASGRF2","RASGRF2","oligo1","turquoise",0.470539236878001,0.358926486572505,0.310300627690145,0.284202107935813,0.335106608983929,0.16439836849664,0.311498582100848,0.388848108369928,0.277145234496462,0.266713262737302,0.225555360174546,0.150023451639182,0.325776441940271,0.211115498162524,0.271576225357044,0.318097525336227,0.167713535989885,0.166701068622654,0.296705645066837,0.218531730936681,0.144573960177934,0.283463076015369
"CKMT2-AS1","CKMT2-AS1","oligo1","turquoise",0.163482680760065,0.151927567984318,0.130079844322282,0.128190926049097,0.125482981435301,0.0821996038364782,0.118991046259568,0.139293170287469,0.146335205382046,0.115958508533262,0.104249067587724,0.0612677902915624,0.101399891024916,0.0992792794174704,0.127409906419346,0.116417054600238,0.0918965462634656,0.0635724226561314,0.13733728602818,0.105093472821976,0.0980943414792921,0.136389864350678
"SSBP2","SSBP2","oligo1","turquoise",0.326010314256698,0.321860920870832,0.161330800505351,0.237746845741635,0.227362382549134,0.103450815350556,0.27743876874573,0.289260648757409,0.174484049294514,0.22537991301208,0.218002058459709,0.170462547504754,0.242527692511593,0.279849568025379,0.174640345756039,0.251558492264379,0.209350075822488,0.0962807128248804,0.241197644552276,0.211897881520742,0.156294897855884,0.222676249476122
"ATG10","ATG10","grey","grey",0.157089703801917,0.179267699697781,0.0460332481456317,0.0988902721197057,0.101382032282732,0.0233146529060135,0.128942520724404,0.167974966552022,0.120425436871526,0.160817130560075,0.0598332618559304,0.126910084664122,0.115304176299914,0.120097730519353,0.0759931524702173,0.143357353907592,0.121873831807724,0.0228370515563601,0.157417163529045,0.163915009858265,0.140648266040883,0.155007222350159
"ATP6AP1L","ATP6AP1L","grey","grey",0.16500071413512,0.205847548912624,0.130606579854996,0.168601931034089,0.110349356819087,0.0762160985517945,0.105054882580385,0.208761723862839,0.166992896478874,0.120741275618044,0.0890834388573928,0.154319829022208,0.154098515323506,0.194107458109283,0.144317398341805,0.209225350299063,0.085915526702357,0.0893941728676152,0.153092525165609,0.119420868013591,0.148057014118859,0.186838241733452
"TMEM167A","TMEM167A","grey","grey",0.117500962183502,0.131960388599767,0.100177894235366,0.089115377335198,0.0803762464198268,0.0774827623832214,0.0994504673930184,0.116561914665141,0.0620668009676111,0.102446697222956,0.0841458733835611,0.098800495411371,0.0802291074468918,0.0595405339456749,0.0825335223424384,0.102387624427786,0.0622202832399526,0.026407500623887,0.084377534503247,0.0479480897222848,0.0288579947342077,0.143420352206507
"XRCC4","XRCC4","oligo1","turquoise",0.125765175143189,0.107420523537252,0.0946185948688712,0.108937630022223,0.096813429412838,0.0452066751825233,0.0607924404685983,0.123760313091603,0.0622633414570921,0.0518363866573862,0.0680160388198517,0.0764759039084303,0.0567617394414579,0.107121055737066,0.0786424692531038,0.109766179161289,0.0372867724821502,0.0637169102106466,0.0819354316657057,0.0501372412505889,0.0633880124415594,0.0820023497277966
"EDIL3","EDIL3","oligo11","yellow",0.33984404823913,0.483524933283757,0.181158488136745,0.344062839164743,0.300177851047905,0.301829392933724,0.258569181079145,0.425060386515132,0.324015176301491,0.346538807511771,0.269298473906418,0.467782857089761,0.339483094252948,0.355609121205208,0.32978173798846,0.435287722293677,0.279729908073542,0.157279224359135,0.350100294336633,0.299939045693246,0.236568377562782,0.374967134216318
"AC113383.1","AC113383.1","oligo15","black",0.0653125621020435,0.0721205851921288,0.054068784090761,0.0512442424169136,0.023793245050145,0.0229137393730077,0.033070513240903,0.0903975130680833,0.0637081815166936,0.0748683192224495,0.0397776703938428,0.0918055746675003,0.0422228867205499,0.0630351690861362,0.0611466335636695,0.114511927706254,0.0473757405540362,0.0215629527565853,0.0359231981073228,0.0167420388536651,0.0672595047594809,0.0502420256256222
"RASA1","RASA1","grey","grey",0.222523844523168,0.256052796922099,0.0650001934171962,0.145419879047176,0.200318504254659,0.0611863924183332,0.154392494853088,0.256984717468666,0.203232492572182,0.156721821321096,0.184312077544468,0.202391060419697,0.167460201127011,0.223720930684387,0.145516710554935,0.217635608198365,0.110244788396291,0.0636039570142486,0.18581424739934,0.141110245674309,0.158343243458462,0.174562008658242
"CCNH","CCNH","oligo11","yellow",-0.0102419587550852,0.165583740931851,-0.00601180765346258,0.0826705466288765,0.0042982433807775,0.129190841114025,0.026133715939498,0.112779538924602,0.0710205585233859,0.117382706299548,0.0813836609976005,0.275110363928882,0.0613859490581724,0.132357907368677,0.0762491386893989,0.192314795458583,0.0231652364575398,0.00265716922468292,0.0760437028528868,0.0391717720145665,0.110941977372001,0.131396410628126
"TMEM161B","TMEM161B","oligo3","pink",0.111681253272378,0.114649264638939,0.064576142697138,0.15333309266918,0.120825221485675,0.0563008401135368,0.0972875796839207,0.110020535607937,0.0406276441926851,0.080338083128792,0.0602000640761845,0.0698107127353036,0.0362970604509906,0.0817104501601707,0.102437356392148,0.104039478369498,0.0520874628226776,0.0242519069760456,0.127414137861524,0.0624074064552063,0.0326827227886307,0.0530253121562795
"TMEM161B-AS1","TMEM161B-AS1","grey","grey",0.235312234681211,0.269680382595948,0.158373041984049,0.193721044322061,0.210043997353132,0.101231278330724,0.125793108360317,0.269139423678385,0.234306026877705,0.173602276504598,0.154970481243082,0.209880658290273,0.193484520952584,0.204767319523782,0.156617531687743,0.259887586325294,0.171914562087792,0.0714442427670509,0.233353622632638,0.155797427842121,0.167910106195996,0.187380394307036
