"","gene_name","module","color","kME_oligo1","kME_grey","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"IFNGR1","IFNGR1","oligo3","turquoise",0.237711331393677,0.269019413462355,0.219509792485205,0.326399601058966,0.279600609762554,0.297207181887439,0.15694442123196,0.124789175629439,0.227914281749588,0.26564021397447,0.0341846516437365
"ARFGEF3","ARFGEF3","grey","grey",0.474695969621102,0.457029011674291,0.395374911905325,0.245838890065623,0.378661973420475,0.40047089912246,0.43281460637704,0.449217193780114,0.352761511135034,0.249259328074668,0.0878549850769191
"CCDC28A","CCDC28A","oligo5","brown",0.137009406267898,0.142194555532416,0.118814825442468,0.12318384258233,0.129253425760487,0.150374369768801,0.104307613964426,0.0933704398139607,0.120311405277055,0.116143794763802,0.0300619816602782
"REPS1","REPS1","oligo8","pink",0.24353878526631,0.252359929180548,0.222713533735548,0.152078015920031,0.192890230793083,0.234732569507932,0.219152378897676,0.204254182392544,0.261091538726933,0.189536042875645,0.0460515680950074
"VTA1","VTA1","grey","grey",0.191403082633048,0.190958465385538,0.163234656367936,0.121362741904675,0.161185797266134,0.172212882862514,0.162198692141425,0.161000292233074,0.152905915718082,0.12373302772547,0.0283139145594848
"HIVEP2","HIVEP2","oligo7","yellow",0.146866575241057,0.119199263157427,0.108327680898222,-0.00221109242280866,0.0793548422773388,0.0450546626186376,0.17888035235555,0.234363574592966,0.0691053865836954,-0.0328889085706653,0.0440255858957926
"AIG1","AIG1","oligo8","pink",0.332245438638083,0.359750254514955,0.344679239068018,0.247549456357696,0.26057060530983,0.329094643456031,0.328894557992,0.295793553266563,0.38503941661349,0.252404672803118,0.0389812921768143
"PEX3","PEX3","grey","grey",0.231138084932072,0.236560698360199,0.203809425902861,0.145154203313545,0.189625015831994,0.210992225694441,0.206648662927842,0.20052985404658,0.191867651283926,0.15463026084372,0.031524583735504
"FUCA2","FUCA2","oligo3","turquoise",0.0893954925928987,0.116339861544578,0.0964696447299888,0.156269488158944,0.1224261281143,0.107872786190892,0.0721981302275262,0.0642742927535449,0.0895282750489639,0.0909624549020243,0.0261407025580771
"PHACTR2","PHACTR2","grey","grey",0.154408068367364,0.16015198917826,0.142766728340081,0.0794746365634047,0.11553673398049,0.130135058067704,0.148587900829172,0.143417570050444,0.123143828455247,0.0887633217701273,0.0253500990057868
"SF3B5","SF3B5","oligo3","turquoise",0.0761972963683179,0.0989330963862196,0.0698518328742776,0.185343114175155,0.135257997892223,0.106548175024022,0.0377653941969652,0.0315605497806234,0.0698691863876779,0.0873223532266042,0.0227949445076087
"EPM2A","EPM2A","grey","grey",0.200974595377532,0.214449287153781,0.19922615402899,0.125798698377196,0.146849610704466,0.185933876511768,0.194440057894244,0.181498179584701,0.188326887045225,0.133017762654164,0.0299510940622508
"FBXO30","FBXO30","oligo1","blue",0.150375128872813,0.136078192752037,0.0994885948103861,0.0864455445414399,0.126153039902776,0.144172895310303,0.103670269177506,0.105351041160666,0.1156761387171,0.101531015332867,0.0189556921459173
"AL356599.1","AL356599.1","oligo3","turquoise",0.126637484299056,0.170091087400436,0.1589165073488,0.202343870463024,0.152675458713403,0.1415603793156,0.124904630800824,0.0985570216614651,0.145994278851554,0.118917480717107,0.0328514394168848
"SHPRH","SHPRH","grey","grey",0.358261820945641,0.356819002523156,0.302094176780071,0.224651681073894,0.297050668813277,0.315226193578812,0.31575367696589,0.319139635059128,0.285180513672835,0.219877784024313,0.0688898022992905
"STXBP5-AS1","STXBP5-AS1","oligo1","blue",0.105482593955584,0.0918550894539975,0.0773767790295431,0.0419862114707916,0.0777773384673118,0.0776950731860766,0.0968813236858109,0.100387160429667,0.0669605709770063,0.04051726663727,0.0405225547384417
"STXBP5","STXBP5","oligo1","blue",0.38100932166477,0.356835694244063,0.289629511444128,0.175849926662716,0.281277890995585,0.342385517592883,0.30991079328629,0.310497678728062,0.298908089968042,0.249277715888217,0.0700419467771454
"SASH1","SASH1","oligo5","brown",0.531982632733092,0.518496710165936,0.438007670023874,0.328718590187286,0.426280955208743,0.562076699199118,0.426573153557923,0.392851544465013,0.469710788929168,0.451507367222851,0.0894406925338365
"TAB2","TAB2","oligo1","blue",0.297105003848093,0.286958525230248,0.24686986229312,0.158386159549169,0.226116212240979,0.258753946834937,0.262562959987913,0.263639911923424,0.241370159049415,0.174525528095363,0.0550107428791689
"PPIL4","PPIL4","oligo1","blue",0.210162112502352,0.204725884565099,0.165825033247454,0.153646547154985,0.184910707099458,0.192504713440988,0.166688078861183,0.166161665026374,0.165939538220027,0.131287029554712,0.0313837005650938
"GINM1","GINM1","grey","grey",0.228592815282599,0.237848058440063,0.198000177855323,0.202301796124209,0.216977781226664,0.21152940577234,0.189733488665315,0.188024727937066,0.178717237996526,0.153513842841398,0.0440521250434952
"AL078581.3","AL078581.3","oligo3","turquoise",0.0367302325178575,0.0702741847113562,0.0566315334088362,0.172077927246046,0.0953844837915442,0.0658162249576599,0.027724068600817,0.0135299794373845,0.056073157852999,0.0725575533971417,-0.00398368178169378
"KATNA1","KATNA1","grey","grey",0.15073027224587,0.161702486387874,0.134694114028823,0.120868847296466,0.139635501842686,0.148850354598524,0.126273181279139,0.123210548927545,0.13319759159578,0.108492982120576,0.0263703237411373
