"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10","kME_oligo11","kME_oligo12","kME_oligo13"
"LPXN","LPXN","grey","grey",0.111216548475853,0.0803457264427291,0.0492650744326836,0.089952146526667,0.0867840181169743,0.087203410167186,0.0895389011239547,0.099996282373344,0.0602263174217771,0.10534997513586,0.0894665811327703,0.0567935098290826,0.0148014872456261,0.086019607102059
"DTX4","DTX4","oligo3","blue",0.118396194165051,-0.0169865707700726,0.0551358390648789,0.173781105062633,0.181472930994052,0.148624431070682,0.0537530468957028,0.039811390551526,-0.00352313478487929,0.0977553533814739,0.092225133629404,0.111405534236305,0.00503033798574912,0.0266497626797768
"OSBP","OSBP","grey","grey",0.108433964862592,0.085121957468953,0.0554258937600278,0.0914272704061852,0.0677278255297211,0.0864061429531864,0.095416912090103,0.105906263932582,0.0789066992888263,0.0934560238546234,0.0667522121378958,0.0635678481183151,0.016034263664138,0.0737433801652423
"PATL1","PATL1","grey","grey",0.113314450881142,0.0783802643973514,0.0619981481388222,0.109804300343109,0.0799105129438693,0.0952657263812218,0.0956308772917769,0.10439476157081,0.0785843599742536,0.1008334593683,0.0801056751452955,0.0751323025035122,0.0164433625428919,0.0784618121085617
"STX3","STX3","grey","grey",0.10935011837159,0.0132728777474088,0.0498737520272112,0.102178539342641,0.134120508800575,0.102061417652029,0.0532137269453374,0.062921036916959,0.0260702704557344,0.0872649007705106,0.0925841566422283,0.0950104701535623,0.00655386638794498,0.0467504820202139
"PRPF19","PRPF19","grey","grey",0.0830464777458734,0.0759980291232954,0.0989682323824172,0.0751340488646092,0.0354114510087045,0.048098301955315,0.0573246651083597,0.0795912933259968,0.0984451811320576,0.0479244238116589,0.0658853075408183,0.0725452897206109,0.0156066512055551,0.0494345828018429
"TMEM109","TMEM109","oligo2","brown",0.0540845064003652,0.0614895401671586,0.112736738895597,0.0470785690833312,0.000939111457173821,0.00830965650598685,0.0283082135749553,0.0547931678135063,0.105460796998959,0.0162326318621244,0.0484926386856295,0.0558868416098304,-0.000909297081844109,0.0336014201039426
"VPS37C","VPS37C","grey","grey",0.0573995629854249,0.046139654556359,0.048813561825583,0.0517450527093506,0.0288589385435531,0.0511460375824808,0.0462271048125755,0.0647124066240099,0.062115430346833,0.0519272099275612,0.0321260043831499,0.0431153327309077,0.0108170140755684,0.0336485307718212
"DDB1","DDB1","grey","grey",0.121644627107071,0.101054870468407,0.0907654240809056,0.118733952938145,0.0674210096770501,0.101074137190819,0.104316091947435,0.116580113220404,0.0986336558960221,0.0954358243350607,0.0804308992991359,0.0763119270522653,0.0103339791454074,0.0780311757025241
"CPSF7","CPSF7","oligo1","yellow",0.128530956358789,0.131187708428999,0.0673791749821326,0.121360916377037,0.0684550343557635,0.112045814672247,0.123880383474233,0.135527764080671,0.109443605184739,0.108728988592661,0.0648449054897777,0.0606511860512236,0.0196345294657289,0.103273176294127
"AP003108.2","AP003108.2","grey","grey",0.118651014563499,0.0999744336332922,-0.00161055867212377,0.121690491669587,0.100262430186687,0.144169787064489,0.138135277130764,0.106532997382552,0.0349985628516656,0.126043672803072,0.0664870535451061,0.0291685468791173,0.00444507581092016,0.114700527375111
"MYRF","MYRF","oligo7","red",0.278975905441052,0.232013228135194,0.169786479997626,0.262393215207534,0.172966638795313,0.289833785108704,0.302707658973014,0.327330021925189,0.252192520041488,0.293821840976461,0.167943577223272,0.194157359203931,0.0125470680223562,0.198433015841915
"TMEM258","TMEM258","oligo2","brown",0.0925988395609607,0.0623714561111798,0.185340206169017,0.0667862097652159,0.0301980574040316,0.0274966663452924,0.0390597083371772,0.0756631027600165,0.145354025523495,0.0450365247526338,0.109615560806973,0.127827445549285,0.00497573985271044,0.0373549438902016
"FADS2","FADS2","grey","grey",0.082914020079425,0.0717909169701518,0.0496077673741593,0.0436360970669721,0.0443832667967295,0.0605819653471306,0.0876904892621651,0.0952089286355974,0.0851870926567813,0.0879703793656352,0.0917279690240333,0.057921644568059,-0.00222730126337284,0.0616311189773718
"FADS1","FADS1","grey","grey",0.139712791610091,0.148125432136464,0.141344068359263,0.0815192148728979,0.0489032591222722,0.0844598995665422,0.138643162812883,0.170547553588378,0.191971988668609,0.129851506107991,0.117708939391158,0.114502610822176,-0.00160117840651856,0.10955299096226
"FADS3","FADS3","grey","grey",0.084439164982974,0.0727051414305888,0.0652064812440004,0.0714184189398315,0.0428202011703354,0.0609744193980793,0.0682501044952989,0.0702077897824746,0.0617776713347641,0.0544364599005566,0.0835852108557372,0.0394610351760879,0.00994915904654805,0.0613972337145398
"BEST1","BEST1","oligo4","turquoise",0.221927389501556,0.0484048186120824,0.134662692663132,0.154604338153474,0.272995958414036,0.181565711773919,0.139629116831647,0.160110281536884,0.097251749313528,0.231179250128196,0.231909712393514,0.231740470073708,0.0165120751127033,0.106258220792705
"FTH1","FTH1","oligo2","brown",0.265111796046024,0.103625116503245,0.721447990240785,0.191204840828722,0.105692791384452,0.0171835843618301,0.0232340500618893,0.169172920193699,0.472778541938958,0.0720073281169085,0.373154656824277,0.492943586290889,0.0251576203112385,0.0469013201213873
"ASRGL1","ASRGL1","grey","grey",0.100015731022529,0.0856513942329771,0.0645863819961413,0.0724749516454568,0.0598923411052387,0.0850278566399612,0.105268834941348,0.103929050583214,0.0855456809896516,0.0924938454287632,0.0805164272997376,0.0587250972375507,0.00136989104645193,0.0831131681873469
"ROM1","ROM1","oligo11","purple",0.0873591172779475,-0.00483644308495803,0.107392563942569,0.0669169929289389,0.107806118870804,0.0586435252428887,0.029813545158726,0.0536802261849438,0.0742456015811938,0.0721095689583868,0.0866002150696956,0.154284370234598,0.00885345614241656,0.0173864557932566
"B3GAT3","B3GAT3","oligo2","brown",0.110679010313115,0.0237538723059914,0.174159486987071,0.107678916504636,0.100840924538389,0.0711084193890274,0.0391265725811881,0.0592827456302632,0.101432857807024,0.0642336945188606,0.11644002672222,0.166233232072317,0.00377479167515023,0.0309157319090869
"GANAB","GANAB","grey","grey",0.0807746896925943,0.0570030774136006,0.0920219352929425,0.0715378083156311,0.0462753929796006,0.0569945083332596,0.0537885705392626,0.069737008774635,0.0852197966205172,0.0487072346321294,0.0702589186863007,0.0740081057119645,0.0179297515237151,0.0374839217808377
"UBXN1","UBXN1","oligo2","brown",0.059864581581629,0.0364375908901575,0.184612454612996,0.0503475243391967,0.00987740672296305,-0.0017035932924372,0.00145451361223412,0.0330144718166798,0.111699417601289,0.00301624931882508,0.0817478995414351,0.10848212401319,0.00800104257033285,0.00345006792209924
"TTC9C","TTC9C","oligo3","blue",0.0827880989701552,0.0567924543496739,0.0308479655434583,0.0975762504877352,0.0682943550916921,0.0961761898313359,0.0760046752945252,0.0690540618852686,0.0404397167383322,0.079671170943887,0.0598002339708691,0.0428867967409183,0.00331955687858776,0.0602810950616622
