"","gene_name","module","color","kME_grey","kME_oligo1","kME_oligo2","kME_oligo3","kME_oligo4","kME_oligo5","kME_oligo6","kME_oligo7","kME_oligo8","kME_oligo9","kME_oligo10"
"CNTN5","CNTN5","grey","grey",0.0505491957341163,0.045884402617786,0.0426932518730004,0.0459113571650733,0.041324434726778,0.0385260040942828,0.0430078042194105,0.0418610748795447,0.0457585671093685,0.0400732324260991,0.0340477890316989
"CEP126","CEP126","grey","grey",0.151241176767541,0.0790300220343341,0.0643658491634389,0.131646062549885,0.141395876058292,0.122050448702261,0.0923840520356312,0.138644776601698,0.0716628901210295,0.134288411746247,0.109382652218858
"BIRC2","BIRC2","grey","grey",0.175318166957164,0.119074680173216,0.0989275091489065,0.147160210530873,0.164592133556121,0.133819585391646,0.121627751408064,0.164731423434462,0.0818069036269029,0.155594894875766,0.114720613826786
"TMEM123","TMEM123","grey","grey",0.266291656914183,0.181435289165101,0.144443001018961,0.205572372569713,0.264718231990536,0.22024612812876,0.190390974167638,0.252768020876755,0.0930499377286409,0.23202839029074,0.155190503947764
"DCUN1D5","DCUN1D5","grey","grey",0.131265470382069,0.0813503603990462,0.0705445309715381,0.105106976607725,0.123985652321411,0.100421080149913,0.0852027705353039,0.123612941147199,0.0587937483149057,0.111772523741043,0.0788464227102886
"DYNC2H1","DYNC2H1","grey","grey",0.164302548481833,0.0691769371029621,0.0602443500709355,0.133055094330677,0.161199514942365,0.148366874851571,0.0752189804833529,0.141593109892643,0.0681110840618089,0.142627360351425,0.113814341278059
"GRIA4","GRIA4","grey","grey",0.200098640735811,0.107826953369784,0.0718148994082267,0.13863250147005,0.196786810273987,0.114613286837187,0.151079942642878,0.224618589984623,0.0468023077476179,0.170603769021351,0.0685918344590331
"MSANTD4","MSANTD4","grey","grey",0.195975795140149,0.122913240182109,0.102165789417228,0.161926282663187,0.188766456714737,0.148688195011524,0.138422451157338,0.193416828588992,0.0778802783214484,0.169928141477673,0.123895612656355
"KBTBD3","KBTBD3","grey","grey",0.189587060204419,0.109760155529461,0.0824048269415436,0.154731949854974,0.184059223837784,0.149338766968514,0.127902942209779,0.190362729959442,0.0589679690005231,0.168119799405331,0.11778594474351
"AASDHPPT","AASDHPPT","grey","grey",0.213912115499552,0.158490503597176,0.116982912621427,0.173064940917862,0.19939163241957,0.151106152110773,0.16346202016227,0.209886775734472,0.0752498291691043,0.184470086580162,0.122574180134793
"GUCY1A2","GUCY1A2","grey","grey",0.0423683000468989,0.027024555317272,-0.000181451252218822,-0.0105272250593032,0.0416589638275568,-0.00981763038424776,0.0578258950229339,0.0616437070616511,-0.0243958015623076,0.0175153851731677,-0.0381264653217833
"CWF19L2","CWF19L2","grey","grey",0.227320616935367,0.122719369429161,0.0985803680607988,0.187011250153746,0.219864111307855,0.181895633554868,0.143245545940552,0.214773222237822,0.0897824802597016,0.200141645152361,0.147845582438213
"ALKBH8","ALKBH8","grey","grey",0.0966386996428372,0.0504629096835142,0.0404924228613109,0.0775794549979018,0.0936553509826927,0.0794953171687624,0.0631243285692528,0.0942028419955363,0.0323267096094076,0.0834786543632536,0.0637885235289713
"CUL5","CUL5","grey","grey",0.242513484709752,0.137563716269202,0.122077367870721,0.206027163647392,0.233626723101787,0.218217570318098,0.136778425961967,0.215963045823991,0.117550538564957,0.214140716639533,0.177746506045792
