"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15","kME_micro16","kME_micro17","kME_micro18","kME_micro19","kME_micro20","kME_micro21","kME_micro22","kME_micro23","kME_micro24","kME_micro25","kME_micro26","kME_micro27"
"CDHR3","micro9","magenta",0.0943100862522396,0.0810342735680956,0.0759714765224634,0.0654149093047668,0.0425807969007453,0.0700059259411655,0.0815858042634554,0.0783082699515842,0.103288211028938,0.113402343080345,0.1021531102797,0.106066115863088,0.0865576281708289,0.0466632707418873,0.137412976220817,0.111642196561681,0.0395051272807048,0.0623831037706117,0.0247215643191976,0.0634234578462928,0.065316920914333,0.0759915924899057,0.0814813239460116,0.098074677836758,0.114614731471051,0.0884589053348689,0.0384563303529629,0.100927849236281
"NAMPT","micro6","blue",0.0987374907678755,0.0689302070603587,0.10664253985339,0.0523455039766805,0.0644478401981812,0.0185144473698193,0.201251713759914,0.027586683480742,0.0428131181241348,0.0666224379994299,0.0396362373523372,0.0477338641432852,0.07697659971601,0.0773946908093644,0.0287354875090696,0.0707187819150688,0.0769300404668023,0.0422632895279798,0.0813587889542838,0.109303347992052,0.154503883760328,0.0387228024333437,0.065318887903616,-0.00200056494632481,0.0398493239956003,0.107245545171676,0.064261918839147,0.0953635496915757
"HBP1","micro2","yellow",0.225125044082935,0.182714645274545,0.248256124809225,0.118186209787739,0.144906547115349,0.11128926950746,0.203913113454415,0.189598425019767,0.213941563193779,0.201980870627146,0.23608687524247,0.16380444959853,0.202067803071646,0.156983082323579,0.182137431477803,0.157459111530515,0.119875575681633,0.10127274222627,0.161876877255427,0.178003766864049,0.194243252222175,0.106353721512153,0.169148957653182,0.193669155655208,0.1596012979144,0.176495180532575,0.130432930784493,0.162856190115056
"CBLL1","micro1","turquoise",0.0627990446188437,0.0646056365476907,0.0438791541767333,0.0216283808111728,0.037886521492819,0.0221571170005323,0.0480247011709846,0.069089221128454,0.0454332032336361,0.024395682806561,0.0443469046995196,0.0445929827129172,0.0297138969221116,0.033223723128243,0.0521447892487777,0.0322767505915143,0.0544591693161234,0.0687551308226147,0.0291492423050413,0.0517272418400256,0.0575781798993642,0.0194435803715387,0.0395631633708128,0.0314746345476185,0.052518875362339,0.032382064268565,-0.00250697194062989,0.0389555946157494
"SLC26A3","micro27","darkgreen",0.152206033619319,0.14753631411266,0.114767348040467,0.151322642049992,0.14797473642084,0.154819291710733,0.139247873111632,0.121164101795117,0.180495310250028,0.149886816722565,0.144936332760843,0.137016698980996,0.226780130023148,0.109583768541237,0.161264948717019,0.145748376848629,0.148378875646906,0.0825266011369168,0.133731582776673,0.140668770175995,0.133782797863965,0.234035203019604,0.124466128996973,0.180114934452831,0.178024268687711,0.169860985975462,0.0442924851336771,0.377632734746803
"DLD","micro12","green",0.14076174427146,0.134551920258811,0.130205743004964,0.107785447677189,0.107314755612056,0.0958362378038718,0.123710480533283,0.116763556481435,0.119279027168528,0.132366696584323,0.133718477091443,0.111388383170097,0.161500192519559,0.112295910664044,0.089079341697087,0.091145669117248,0.11574160871876,0.0947202344600691,0.0698638061774315,0.091587691260576,0.114314374382709,0.103385507631003,0.0964364608203126,0.136958736640196,0.110994365717607,0.102201120579828,0.0542686468046252,0.119501827432627
"NRCAM","micro24","cyan",0.0585429117521612,0.0420368506704729,0.0479465572529286,0.0358390332622593,0.014241488198931,0.0325797056355573,0.0634376350641127,0.0292999018751308,0.0504753519325026,0.0418849422683243,0.0494503967991155,0.0274831348764286,0.0861672289193234,0.0354150591449644,0.0326151989697176,0.0537055323339679,0.0537415596587848,-0.0014920521329544,0.0235493361453201,0.0519351354910875,0.0214924523577187,0.0816179159812682,0.0718240076049967,0.0412115401681413,0.101992742849019,0.0509411206502211,0.0674907216010291,0.061169954761388
"IMMP2L","micro10","greenyellow",0.398674950228345,0.330500595849883,0.397854897329048,0.228536201859071,0.276575115689296,0.253189619340346,0.322667508664192,0.396454147970516,0.331341021196753,0.348827007398717,0.424680341663991,0.298711308442713,0.345895673100325,0.265911439975645,0.311834682235363,0.230560249736274,0.206643270604196,0.243143944771446,0.250267355460973,0.286258580500841,0.334105037838597,0.226730947797629,0.267113865826324,0.353509011659897,0.257636191451001,0.326434114354482,0.173930811730665,0.226190859065247
"IFRD1","micro19","black",0.15642889936188,0.146866175875625,0.157913513864478,0.120335794862698,0.141366119116704,0.120030893573552,0.185691491325602,0.12675869715541,0.150166875472705,0.140477429627653,0.115776371995546,0.144508837682021,0.136802268697065,0.157240784749797,0.124208592483295,0.162542482992534,0.105717681312537,0.124317866395445,0.132092747815591,0.192408366158891,0.155437883559964,0.123459605736935,0.126811064907975,0.116142625225681,0.121250879682378,0.144970353049408,0.0987783156755946,0.139393726424008
"FOXP2","micro10","greenyellow",0.47599366023761,0.384472223032901,0.478403228218831,0.255773547617893,0.295693337519505,0.261385225438514,0.366402165564746,0.493986671881013,0.392164928695091,0.397433635612949,0.526356493507786,0.340601136242177,0.386146972771118,0.320553786616824,0.375406636725862,0.258871164216894,0.245340526857121,0.257779562900915,0.24384102447911,0.330401385425349,0.40573802250659,0.191230207255723,0.302725760749164,0.457703176390735,0.281373268531989,0.312399344027491,0.163149656350532,0.215741433797359
"CFTR","micro19","black",0.059568291119677,0.0483421872565662,0.0560488816832663,0.0250959380891153,0.0545914995898665,0.0352282234773425,0.0548752579169596,0.03041633019642,0.0244634826683763,0.0289391896027315,0.0449138651977202,0.0172393697341211,0.0309956089862929,0.0562379056804174,0.0156475617149199,-0.0311014224292768,0.0329341874698057,0.0662393674615058,0.059702429553297,0.0709374390485904,0.0612777286818053,0.0228221631247466,0.0306431668878069,0.0244726308123326,0.006685088425553,0.0337185393528106,-0.000591558499107706,0.0611321537005506
"CTTNBP2","micro6","blue",0.338914425281573,0.291321584092036,0.349917904432606,0.205529859977885,0.235151384670683,0.208579266142415,0.372496723333204,0.275673549388964,0.284364478016687,0.299787375216105,0.297677010990139,0.247983952778623,0.274133770281134,0.229522805863007,0.254878021341962,0.215467581932466,0.207351364531376,0.190907334979842,0.189032703230736,0.291261874173326,0.354161412232261,0.177493117712233,0.285973266853984,0.278311604747519,0.259357949201627,0.284780077699327,0.130084962032845,0.202921662041739
"LSM8","micro8","purple",0.158503690044723,0.161740674043636,0.140515886787617,0.118183351217181,0.125440107503406,0.114702316599324,0.115974368598236,0.155772531094662,0.183742117503339,0.116588045992521,0.154633840316206,0.141947432887431,0.151988985669508,0.112636850989439,0.148345526037416,0.113687485418219,0.0941890757108461,0.0852743779653559,0.14705859408791,0.136822351350939,0.134461505877851,0.124906842739655,0.113994187157887,0.143642138900995,0.117847345701027,0.138464002553618,0.0379075569339029,0.11007332991201
"KCND2","micro21","red",-0.0211690732003607,-0.0139040794125028,-0.023519192267088,-0.0107652131420576,-0.0204506636101224,0.00971055432218032,-0.00990186755772602,-0.0361322065765758,-0.0157039869214801,-0.00710241858593729,-0.0180789160118687,-0.0207595756080963,0.00508322054957312,-0.023190110942959,-0.0275895442295998,-0.0358114982594601,-0.0155736580514496,0.0109040309830032,-0.0074258954026396,0.00173501164144906,-0.00226361784175707,0.0301901845998659,-0.0063413336727448,-0.0425865083980549,-0.0287020643083489,-0.00165801986072009,0.0239947170337068,-0.0447218850302193
"ING3","micro7","brown",0.164080883516381,0.159898304483575,0.157775374234531,0.107790391908696,0.124183673457061,0.113802527887604,0.142460460670112,0.163373012725522,0.12468547895914,0.130524737325292,0.165681483221712,0.144604308647927,0.125474656030442,0.11558533172635,0.130242949348216,0.104177156273602,0.115140235041775,0.0800546537341062,0.145600283287436,0.139113376134117,0.139377477723695,0.115118346656888,0.119054696260904,0.117691536126584,0.0913234535568105,0.104699501446799,0.0470164786721411,0.115352232458903
"CPED1","micro23","lightgreen",0.473006372758913,0.435103391560877,0.428860667773683,0.360268347670451,0.364190241075799,0.314692154377505,0.371088633519762,0.503947972622153,0.437466552060348,0.455091537086685,0.490040783941215,0.408546285606967,0.415381887480815,0.325886175551999,0.464894536471683,0.361608788416827,0.269383672599146,0.278530812361999,0.229840181070187,0.354168777341135,0.363404217855127,0.341861121076973,0.368351693016181,0.547781252719923,0.360642644730052,0.35840093426045,0.135307020269914,0.300738368146222
