"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6"
"BNC2","micro2","brown",0.257650990786047,0.211501530040899,0.243057055429144,0.1715061853154,0.248565550848745,0.129914989302929,0.0806364797490139
"CNTLN","micro4","yellow",0.286008239644975,0.254835752345726,0.231162479413031,0.175536846067134,0.304899053632969,0.167832620747701,0.0761358658881161
"HAUS6","micro1","turquoise",0.141825498290143,0.136250343552898,0.105890731797032,0.0914837494911262,0.105341303089654,0.113077966375601,0.0448186585133581
"PLIN2","micro1","turquoise",0.157564995502334,0.238271148426089,0.0395089394285256,0.0740203715830762,0.0964290474206911,0.231235537538851,0.0679910919843509
"RPS6","micro3","blue",0.127227060339717,0.0666313120620861,0.123800012152909,0.19824811868343,0.0786260088539034,0.106581616531984,0.398658661927953
"FOCAD","micro4","yellow",0.22074294020929,0.231930983891589,0.166787532471815,0.0807467247865625,0.271870717494457,0.109996545557397,0.0431128561327662
"HACD4","micro4","yellow",0.242107732572986,0.214758805439912,0.209329208549114,0.141131586716789,0.263441141115418,0.10014286238287,0.110760804867184
"CDKN2A","micro1","turquoise",0.180572072280018,0.235372298764619,0.0888273206994486,0.067292395957682,0.162496721345958,0.119816206122973,0.0917756561492209
"CDKN2B-AS1","micro1","turquoise",0.161953999467547,0.197352967385226,0.0663170495628021,0.0746411132249628,0.129602859704287,0.147386856927149,0.0127531391490963
"PLAA","micro2","brown",0.153151679377041,0.0855981300937193,0.186629446352282,0.137762619904108,0.146528399773754,0.0712600570224463,0.126375631186268
"IFT74","micro1","turquoise",0.11836359810346,0.118417832721527,0.0844967637775359,0.0419844953713796,0.119205186950262,0.0765622033007355,0.0726783636165024
"MOB3B","micro1","turquoise",0.17439598970825,0.277983483171364,0.0704269051067509,0.0628864379191011,0.119478986837574,0.23355884128129,0.0587760807276882
"C9orf72","micro5","green",0.219724355451554,0.263260886957476,0.140891016609726,0.145281222516348,0.171478727790552,0.265012760771789,0.102870182311156
"NDUFB6","micro2","brown",0.0812223214628975,0.0386555642102027,0.0950603008702184,0.0642918016476771,0.0897229578793226,0.0166892844973978,0.0433882367114567
"DNAJA1","micro2","brown",0.0962466914665769,-0.0583485710140488,0.367651067991429,0.104199016104061,0.176492693903969,-0.0432247475082569,0.139282265552068
"B4GALT1","micro5","green",0.217059071467475,0.261449518312942,0.0969093281199601,0.177551894496563,0.129462393317716,0.345479931339852,0.112004438997995
"UBE2R2","micro1","turquoise",0.205818692772776,0.283584356001202,0.0673249471331289,0.0661253156384307,0.181978298726242,0.205438028673647,0.039467528677855
"UBAP2","micro1","turquoise",0.232420165142157,0.187470332581383,0.190138448247218,0.148916837100376,0.195830606174705,0.159121368572734,0.0990486001211825
"DCAF12","micro1","turquoise",0.156549395000595,0.153333744196729,0.110888097393692,0.0721242370513726,0.171821697823886,0.0773829068089938,0.0166378374937035
"NUDT2","micro2","brown",0.143529187752007,0.111240719184654,0.134042964262926,0.118996332953739,0.112903912886177,0.061731570397886,0.0593347109072127
"VCP","micro2","brown",0.188230835404148,0.083620138154926,0.283155845895958,0.192673447674517,0.213426619529729,0.0313368049494847,0.188035200807258
"FAM214B","micro1","turquoise",0.125522852814429,0.10956750117629,0.111506405931892,0.0722667280622898,0.126837634433149,0.0572577054261357,0.0541139986380806
"TLN1","micro2","brown",0.215193392662484,0.182276261989519,0.206045548876155,0.181686100106627,0.195163502904922,0.189921809454968,0.103545989347003
"RECK","micro3","blue",0.181185285180106,0.115737532536295,0.150818041019853,0.18977426140628,0.161040145584955,0.0970921055747518,0.0527263544205021
"GLIPR2","micro5","green",0.0964399931582477,0.11011301608045,0.0096088431226426,0.0656580815452239,0.0632583183791668,0.0948573385338075,0.0215533374859612
