"gene_name","module","color","kME_grey","kME_micro1","kME_micro2","kME_micro3","kME_micro4","kME_micro5","kME_micro6","kME_micro7","kME_micro8","kME_micro9","kME_micro10","kME_micro11","kME_micro12","kME_micro13","kME_micro14","kME_micro15"
"SRI","micro1","brown",0.0281249133970662,0.042716844926435,0.0237403198097159,0.0225655736064471,-0.0191523997112194,0.000610225739759294,0.0270196548287606,0.00896260296703006,0.0134372455191926,-0.00123941404973236,-0.00441113419568151,0.0240098790956517,0.0289205208497511,0.0048056916178785,0.0409880137901502,0.0316920804672591
"CLDN12","micro5","blue",0.0646749832335004,0.0266591353937769,0.0608421615815957,0.0965817863800379,0.0571445270263961,0.113382054180493,0.0734697036239014,0.0423346836700873,0.112259661009185,0.00608230547745007,0.0542089708737806,0.041429434469828,0.0674833672311389,0.0583081918055292,0.0106692350522563,0.0154139055442912
"CDK14","micro8","turquoise",0.0927572255743793,0.0534696644369325,0.106266229119813,0.154847439831802,0.0935842320450274,0.128204090636799,0.0579717259625148,0.00567576892560797,0.185914942006531,-0.070032415309341,0.0448634589768115,0.119877569286202,0.0701538424081195,0.0593876578880514,-0.0190311630400379,0.0241063320199485
"KRIT1","micro8","turquoise",0.219034115330199,0.0583715809992928,0.223473437066602,0.155503573003985,0.163919308297946,0.200093940636748,0.0642110582573017,0.161657543446586,0.248165126464141,0.127090873709606,0.141397365439923,0.147730185953421,0.18452748062036,0.123566083327142,0.105303794939977,0.0971572347587791
"ANKIB1","micro5","blue",0.254945047884127,0.0661678646232028,0.24899155966046,0.207955149503063,0.166726847559306,0.307726044188389,0.11051749445482,0.206473444307316,0.310384332167927,0.113120904690439,0.18498511848013,0.174081616976186,0.185306811776065,0.150032348489625,0.0924330124614385,0.108795020698147
"RBM48","micro2","red",0.0572423484128069,0.0415134367729637,0.0767384938382385,0.0236422200072027,0.0411778548877925,0.0438762012688121,0.00390333234298841,0.0215128644213442,0.0831186265725915,0.00352043435283817,0.00635866707182185,0.0248562702423956,0.0233850799415772,-0.0441446689865769,0.0288261391766043,-0.0213732173258233
"CDK6","micro10","purple",0.221292120120061,0.00248480537489147,0.127571043342399,0.16446646898001,0.167376451858188,0.165629413447595,0.00594874653149249,0.20811361430064,0.165523967573957,0.289717002044115,0.379475354893203,0.112013350624266,0.187788647645405,0.204654345480673,0.159867156415301,0.135259618649419
"SAMD9","micro8","turquoise",0.162455021277263,0.067810215458656,0.175796018309289,0.105436093030875,0.101090698827123,0.152276601122602,0.0580407740805135,0.10925428051649,0.234445030338883,0.0346790916071663,0.0431664808632029,0.0681258516360219,0.0925606734076955,0.0398791399515709,0.057759205756526,0.0227007816565475
"SAMD9L","micro8","turquoise",0.247311993241793,0.0364913647659164,0.254230296110114,0.160163411442714,0.178443271895547,0.267991153900376,0.0589442215514173,0.176098033695856,0.383282256010632,0.0668567251964102,0.153533456158649,0.185989973111874,0.184897589648614,0.122402442288546,0.0479014294689053,0.0196317220425401
"VPS50","micro8","turquoise",0.276631817233012,0.0214753201106154,0.262171481458694,0.153317124405186,0.167542289066107,0.299881878321618,0.109634899902893,0.230949659068579,0.364049374766674,0.109543093830471,0.139508701226472,0.125230509488026,0.245468713943321,0.10533772174697,0.132532178044886,0.0566474409682437
"PON2","micro6","green",0.0892856281793477,0.0243761258335404,0.0503667389552873,0.0936335995913694,0.0792265224313004,0.0998788917183675,0.0588461442233573,0.0797080374712631,0.07735393667881,0.0626645239365145,0.059039904040287,0.0569615520503663,0.0709799374443321,0.0870957483481551,0.0841474056813341,0.0513287916073387
"SLC25A13","micro15","midnightblue",0.161889578334806,0.0130520175051637,0.117697817494878,0.130783886679406,0.105639249154238,0.162003821182466,0.0614964464536761,0.150122571666808,0.120791437706185,0.113451627103614,0.160599244212625,0.141248346174746,0.1169447168903,0.109319712745301,0.128421927324683,0.268026662607459
"SEM1","micro8","turquoise",0.261965979236734,0.0584826302937341,0.247733431822269,0.138359658159301,0.151909737288168,0.250396933864841,0.0434562203363723,0.22939820054206,0.302061950276759,0.124708176276816,0.130982366101504,0.14794705701477,0.235280316796538,0.0675307305567817,0.117768189497595,0.0646305245995775
"BRI3","micro1","brown",0.100788941374266,0.187057922439636,0.0972117958757787,0.1242549130977,0.0849092177893909,0.174493120772469,0.231023258236685,0.0352168801809824,0.142536405159016,-0.0213531375089575,0.0905435810184191,0.104354862315001,0.0552598024150841,0.106577822936101,0.0727081031338707,0.0756575582268335
"BAIAP2L1","micro1","brown",0.0321481456686405,0.531382226147379,0.0353514527704477,0.111932952825934,0.0297035034701837,0.0269383435062663,0.211870530605069,-0.0504713444753656,0.0200989437691028,-0.0661784807860056,0.0251331946036478,0.0351880396905447,-0.0438838044138981,0.0383316214620902,0.0596591413850185,0.0529386758134042
"TRRAP","micro12","tan",0.203957179944414,0.0235329756708056,0.18953665473734,0.139000453935684,0.182706800843446,0.216341887749742,0.035027226829412,0.192267569342794,0.238480935682386,0.116539316017024,0.131310693163401,0.132982791173529,0.223910070959067,0.0679511726955984,0.0803041217852794,0.0650137553702413
"SMURF1","micro14","pink",0.0925069321572845,-0.0295110145153059,0.0900651372799534,0.106382555682772,0.113034792822048,0.0359326645904271,-0.0221145216716886,0.0682064354074104,0.0712823592248574,0.103770494728697,0.103387348687047,0.0677061751510835,0.101618343900503,0.104180253628166,0.108702347156116,0.0619424446024847
"ARPC1B","micro6","green",0.0805114622745978,0.0689838259762737,0.00209009384783122,0.0863888714260543,0.025301935605282,0.19114972967699,0.25436093500355,0.0487416483113618,0.0815284728166713,0.0148108387218723,0.0726013904484209,0.0278857040317186,0.0657348517361057,0.0901961409499278,0.0222489869551973,0.0239781409124145
