"","gene_name","module","color","kME_micro_state3_AD1","kME_micro_state3_AD2","kME_grey","kME_micro_state3_AD3","kME_micro_state3_AD4","kME_micro_state3_AD5","kME_micro_state3_AD6","kME_micro_state3_AD7","kME_micro_state3_AD8","kME_micro_state3_AD9","kME_micro_state3_AD10","kME_micro_state3_AD11","kME_micro_state3_AD12","kME_micro_state3_AD13","kME_micro_state3_AD14","kME_micro_state3_AD15","kME_micro_state3_AD16","kME_micro_state3_AD17","kME_micro_state3_AD18","kME_micro_state3_AD19","kME_micro_state3_AD20","kME_micro_state3_AD21"
"ARHGAP32","ARHGAP32","micro_state3_AD3","red",0.0988025978954076,0.0291575264551124,0.10325439888255,0.156453834150206,0.157957122749347,0.153693157944965,0.0877987102138391,0.115011456869024,0.0643561590290553,0.11054647798031,0.0502579944977182,0.098842171248794,0.0973490017557188,0.0589335075020835,0.0991270745186007,0.047845426440846,0.0931641245362562,0.103582623664708,0.118089494002775,0.0351655498609131,0.0496481936575241,0.062876908121678
"NFRKB","NFRKB","micro_state3_AD4","blue",0.10064927716544,0.0691890513940007,0.0895827157836246,0.0992603282642968,0.071717471467847,0.0625002366876379,0.12069532392569,0.0770551188996548,0.0604490127555384,0.140183416047938,0.0838204827951681,0.114922764985146,0.146938483554572,0.0645526235477075,0.0776936507007986,0.0953235491584545,0.0859036080276121,0.12485012726711,0.133948037702091,0.0996927990786656,0.0120861965681998,0.121942407026146
"PRDM10","PRDM10","micro_state3_AD17","cyan",0.123316736970358,0.0989104540006415,0.0912049484474226,0.090027366717931,0.0969277164613425,0.113702684516583,0.124572543304395,0.0962457107029247,0.15753522308473,0.0913870760364852,0.0269886300984858,0.0385317614462565,0.166480343791141,0.0236606027649218,0.124712953630649,0.0901412890765744,0.0629939902990889,0.187816739478203,0.162330385986921,0.0700711646758249,0.032017409492856,0.0187215732667723
"APLP2","APLP2","micro_state3_AD2","turquoise",0.148000077241966,0.202285540924292,0.197236919889421,0.160982904525719,0.0930759504950168,0.150307335495214,0.163633244992317,0.103841377473939,0.192204914115134,0.197772438245928,0.135336608080562,0.183352006099552,0.168940880255655,0.162030269202483,0.121485718056328,0.122518665810614,0.163275593949291,0.111984326102862,0.121742709749524,0.17497400432488,0.146397149178906,0.109279698787943
"ZBTB44","ZBTB44","micro_state3_AD5","salmon",0.178580750351636,0.156262416558405,0.180177673315491,0.191925528947987,0.221623980114503,0.27283955290094,0.16032038116163,0.153235608895035,0.194009036406693,0.219765954244965,0.133533583644544,0.182114035150189,0.166640165853207,0.139648036245203,0.17893532422089,0.134798276058169,0.124324912445857,0.194599416548527,0.162006415767014,0.116672573148669,0.122840494791123,0.124940268503065
"SNX19","SNX19","micro_state3_AD1","green",0.226103564710249,0.123170682945327,0.141555535701997,0.152429162930992,0.174572424003227,0.0990679173799136,0.154241222158619,0.144499309486048,0.140270537013537,0.133550284364466,0.126164620008902,0.103749210339205,0.178213972329731,0.0849820266018846,0.0924092915618832,0.135522647787521,0.0335093173868005,0.101549664303385,0.109071506232379,0.120966773949807,0.1120330909035,0.0948260955472156
"NTM","NTM","micro_state3_AD2","turquoise",0.184231991138932,0.142540096759265,0.165295920274335,0.170373447474956,0.100653760710498,0.213584781802986,0.162901464719119,0.118284762841857,0.12111247058742,0.16082817548717,0.110270137434451,0.097322407978128,0.163302053766644,0.126054442162495,0.132104576999063,0.102416765962146,0.0440297119878867,0.160392815280224,0.14032123968138,0.122790186910019,0.136753845796108,0.170213770097027
"JAM3","JAM3","micro_state3_AD2","turquoise",0.06201532208723,0.0659860521725003,0.0644408916511023,0.0458059603554304,0.0712793241315664,0.04546936172922,0.0883875194554849,0.0520242613266295,0.0245704482359854,0.074887131321637,0.0163638074367689,0.0471385211976827,0.0807526294940319,-0.0329273234218243,0.0593702621845526,0.0613710753070308,0.0662665354772003,0.00751902250463669,0.0771036657129738,0.0501120871330864,0.0183807163046713,0.0171252814608102
"NCAPD3","NCAPD3","micro_state3_AD5","salmon",0.214536561033321,0.155981491451544,0.203660631243283,0.246966832493298,0.178844160142055,0.311152343981436,0.173412916537293,0.132355049606741,0.151781417116824,0.22780730376324,0.202334306035537,0.174503364710396,0.149708953286309,0.126081982083582,0.0947553702966568,0.129283533545658,0.126340042962603,0.187594378636706,0.154883095107597,0.132482896899956,0.120322339398952,0.118440010467595
"VPS26B","VPS26B","micro_state3_AD4","blue",0.134367411286809,0.0811580512545422,0.113039673236544,0.114022225973042,0.146675981143834,0.157410315182068,0.108565301462046,0.0610096741852362,0.0826253730223792,0.116031050091018,0.0882941627109615,0.13618328656017,0.0661307875340767,0.0801907385326546,0.019429957700982,0.0744555487280739,0.0341719999295989,0.0487948656518892,0.101072302012144,0.0398853062551036,0.0377090384464781,0.090972150681353
